edinet_cd,name,部門区分,行区分,正規化group1,正規化科目,unit,表示単位,2017/3/31,2018/3/31,2019/3/31,2020/3/31,2021/3/31,2022/3/31,2023/3/31,2024/3/31,2025/3/31,2026/3/31
E04499,関西電力株式会社,水力発電費,個別勘定科目,,損害保険料,JPY,百万円,13,13,13,25,22,6,2,2,3,3
E04499,関西電力株式会社,水力発電費,個別勘定科目,,諸費,JPY,百万円,389,382,491,1226,3350,3323,2395,2045,2570,2175
E04499,関西電力株式会社,水力発電費,個別勘定科目合計,,諸税,JPY,百万円,4411,4299,4251,4275,4342,4322,4352,4344,4302,4221
E04499,関西電力株式会社,水力発電費,内訳,諸税,固定資産税,JPY,百万円,4357,4273,4211,4236,4298,4277,4310,4298,4260,4175
E04499,関西電力株式会社,水力発電費,内訳,諸税,雑税,JPY,百万円,54,26,39,39,43,45,41,45,41,45
E04499,関西電力株式会社,水力発電費,個別勘定科目合計,,減価償却費,JPY,百万円,17304,17131,17866,13033,13286,13223,14227,14722,14683,15806
E04499,関西電力株式会社,水力発電費,内訳,減価償却費,普通償却費,JPY,百万円,17304,17131,17866,13033,13286,13223,14227,14722,14683,15806
E04499,関西電力株式会社,水力発電費,個別勘定科目,,委託費,JPY,百万円,4513,6047,5611,5716,5619,5437,5561,6155,7023,7912
E04499,関西電力株式会社,水力発電費,個別勘定科目合計,,固定資産除却費,JPY,百万円,2234,2598,2033,1845,2355,1623,1030,1334,2532,2800
E04499,関西電力株式会社,水力発電費,内訳,固定資産除却費,除却損,JPY,百万円,1251,991,1253,779,1032,567,520,559,729,395
E04499,関西電力株式会社,水力発電費,内訳,固定資産除却費,除却費用,JPY,百万円,983,1607,779,1066,1323,1055,510,774,1803,2405
E04499,関西電力株式会社,水力発電費,個別勘定科目,,共有設備費等分担額,JPY,百万円,863,862,862,917,999,1091,1093,1163,1050,1159
E04499,関西電力株式会社,水力発電費,個別勘定科目,,共有設備費等分担額|貸方,JPY,百万円,-27,-20,-31,-25,-19,-9,-11,-11,-11,-14
E04499,関西電力株式会社,水力発電費,個別勘定科目,,賃借料,JPY,百万円,737,790,760,798,929,868,863,878,948,902
E04499,関西電力株式会社,水力発電費,個別勘定科目,,給料手当,JPY,百万円,6329,6725,7802,7885,7653,7450,7280,7552,8009,8285
E04499,関西電力株式会社,水力発電費,個別勘定科目合計,,給料手当振替額|貸方,JPY,百万円,-417,-364,-318,-354,-141,-243,-410,-461,-529,-570
E04499,関西電力株式会社,水力発電費,内訳,給料手当振替額|貸方,建設費への振替額|貸方,JPY,百万円,-181,-124,-84,-120,-98,-135,-172,-201,-250,-277
E04499,関西電力株式会社,水力発電費,内訳,給料手当振替額|貸方,その他への振替額|貸方,JPY,百万円,-236,-240,-233,-233,-42,-108,-237,-259,-279,-292
E04499,関西電力株式会社,水力発電費,個別勘定科目,,補償費,JPY,百万円,451,563,587,684,617,865,608,611,643,642
E04499,関西電力株式会社,水力発電費,個別勘定科目合計,,厚生費,JPY,百万円,1263,1308,1461,1503,1374,1350,1334,1359,1411,1472
E04499,関西電力株式会社,水力発電費,内訳,厚生費,法定厚生費,JPY,百万円,996,1087,1272,1295,1262,1247,1228,1261,1297,1345
E04499,関西電力株式会社,水力発電費,内訳,厚生費,一般厚生費,JPY,百万円,267,221,188,208,112,102,106,98,114,127
E04499,関西電力株式会社,水力発電費,個別勘定科目,,水利使用料,JPY,百万円,4418,4415,4429,4423,4428,4441,4452,4460,4467,4471
E04499,関西電力株式会社,水力発電費,個別勘定科目,,雑給,JPY,百万円,220,233,246,292,362,353,359,358,402,340
E04499,関西電力株式会社,水力発電費,個別勘定科目,,消耗品費,JPY,百万円,167,175,172,125,179,156,145,291,186,262
E04499,関西電力株式会社,水力発電費,個別勘定科目,,修繕費,JPY,百万円,11798,12889,11569,11502,11431,6121,5896,7066,11144,14125
E04499,関西電力株式会社,水力発電費,個別勘定科目,,非化石証書関連振替額,JPY,百万円,,,,,-41,-547,425,-1216,140,630
E04499,関西電力株式会社,水力発電費,区分合計,,合計,JPY,百万円,54671,58052,57811,53876,56754,49834,49607,50656,58979,64625
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,損害保険料,JPY,百万円,165,69,71,166,142,1,,0,0,0
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,諸費,JPY,百万円,995,1023,823,877,2432,2120,2336,1846,1663,2254
E04499,関西電力株式会社,汽力発電費,個別勘定科目合計,,諸税,JPY,百万円,14843,8859,8144,7530,6825,6357,5857,5723,5361,5003
E04499,関西電力株式会社,汽力発電費,内訳,諸税,固定資産税,JPY,百万円,9155,8565,7847,7237,6531,6074,5590,5452,5089,4742
E04499,関西電力株式会社,汽力発電費,内訳,諸税,雑税,JPY,百万円,5688,294,296,292,294,283,266,270,271,261
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,委託費,JPY,百万円,10980,13771,11998,9560,9336,8475,8190,4613,3329,4873
E04499,関西電力株式会社,汽力発電費,個別勘定科目合計,,減価償却費,JPY,百万円,60419,46837,43677,32536,32724,30055,30312,33109,27770,25622
E04499,関西電力株式会社,汽力発電費,内訳,減価償却費,普通償却費,JPY,百万円,60419,46837,43677,32536,32724,30055,30312,33109,27770,25622
E04499,関西電力株式会社,汽力発電費,個別勘定科目合計,,固定資産除却費,JPY,百万円,-5340,243,246,2737,8874,9279,877,9229,9558,5102
E04499,関西電力株式会社,汽力発電費,内訳,固定資産除却費,除却損,JPY,百万円,-756,89,9,332,340,85,97,122,2562,290
E04499,関西電力株式会社,汽力発電費,内訳,固定資産除却費,除却費用,JPY,百万円,-4583,153,236,2404,8533,9194,779,9107,6995,4811
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,共有設備費等分担額,JPY,百万円,97,147,156,40,27,34,93,134,88,46
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,共有設備費等分担額|貸方,JPY,百万円,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,賃借料,JPY,百万円,2423,3287,648,618,438,422,410,414,416,363
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,給料手当,JPY,百万円,10909,10692,10530,9874,10264,9702,9409,9092,9770,9619
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,補償費,JPY,百万円,813,637,539,507,497,459,475,411,417,431
E04499,関西電力株式会社,汽力発電費,個別勘定科目合計,,給料手当振替額|貸方,JPY,百万円,-52,-72,-41,-215,-181,-203,-286,-136,-68,-58
E04499,関西電力株式会社,汽力発電費,内訳,給料手当振替額|貸方,建設費への振替額|貸方,JPY,百万円,-17,-5,-8,-110,-12,-18,-37,-3,-20,-27
E04499,関西電力株式会社,汽力発電費,内訳,給料手当振替額|貸方,その他への振替額|貸方,JPY,百万円,-34,-66,-32,-104,-169,-185,-249,-132,-47,-30
E04499,関西電力株式会社,汽力発電費,個別勘定科目合計,,厚生費,JPY,百万円,2024,2037,1967,1870,2012,1900,1849,1764,1785,1753
E04499,関西電力株式会社,汽力発電費,内訳,厚生費,法定厚生費,JPY,百万円,1786,1779,1748,1647,1827,1735,1687,1617,1627,1588
E04499,関西電力株式会社,汽力発電費,内訳,厚生費,一般厚生費,JPY,百万円,237,258,218,222,184,165,161,146,157,164
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,雑給,JPY,百万円,163,177,175,123,126,159,226,361,488,483
E04499,関西電力株式会社,汽力発電費,個別勘定科目合計,,燃料費,JPY,百万円,522719,508120,514619,435191,380564,492948,842708,480968,485403,381973
E04499,関西電力株式会社,汽力発電費,内訳,燃料費,石炭費,JPY,百万円,48615,58202,54123,42367,33433,81616,192910,100918,79729,60408
E04499,関西電力株式会社,汽力発電費,内訳,燃料費,燃料油費,JPY,百万円,59443,21958,16945,4354,24439,59956,104811,16582,14727,15098
E04499,関西電力株式会社,汽力発電費,内訳,燃料費,ガス費,JPY,百万円,413505,427091,442852,388023,319053,350104,543360,362220,389626,304740
E04499,関西電力株式会社,汽力発電費,内訳,燃料費,助燃費及び蒸気料,JPY,百万円,1149,862,693,443,3633,1263,1621,1243,1314,1720
E04499,関西電力株式会社,汽力発電費,内訳,燃料費,運炭費及び運搬費,JPY,百万円,6,5,3,3,3,6,4,3,4,4
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,修繕費,JPY,百万円,38767,25129,19837,22993,31659,15662,31849,41462,45530,53278
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,廃棄物処理費,JPY,百万円,7114,7001,6736,6589,5798,6598,6895,6940,5905,5883
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,消耗品費,JPY,百万円,1756,1573,1572,1361,1213,1220,2089,2388,2078,1612
E04499,関西電力株式会社,汽力発電費,個別勘定科目,,非化石証書関連振替額,JPY,百万円,,,,,,,,0,0,0
E04499,関西電力株式会社,汽力発電費,区分合計,,合計,JPY,百万円,668782,629520,621685,532345,492739,585174,943277,598305,599480,498226
E04499,関西電力株式会社,原子力発電費,個別勘定科目,,消耗品費,JPY,百万円,1541,2385,1586,1998,2273,1270,1522,3029,3660,2481
E04499,関西電力株式会社,原子力発電費,個別勘定科目合計,,原賠・廃炉等支援機構負担金,JPY,百万円,31524,31524,31524,31524,38801,39767,39767,39767,39767,39767
E04499,関西電力株式会社,原子力発電費,内訳,原賠・廃炉等支援機構負担金,原賠・廃炉等支援機構一般負担金,JPY,百万円,31524,31524,31524,31524,38801,39767,39767,39767,39767,39767
E04499,関西電力株式会社,原子力発電費,個別勘定科目,,損害保険料,JPY,百万円,1482,1462,1483,1608,1602,1096,1150,1145,1208,1212
E04499,関西電力株式会社,原子力発電費,個別勘定科目合計,,原子力損害賠償資金補助法負担金,JPY,百万円,19,17,19,18,16,18,18,20,22,21
E04499,関西電力株式会社,原子力発電費,内訳,原子力損害賠償資金補助法負担金,原子力損害賠償資金補助法一般負担金,JPY,百万円,19,17,19,18,16,18,18,20,22,21
E04499,関西電力株式会社,原子力発電費,個別勘定科目,,原子力発電施設解体費,JPY,百万円,10120,13275,16050,14408,15149,15449,16506,19496,,
E04499,関西電力株式会社,原子力発電費,個別勘定科目,,諸費,JPY,百万円,4418,4784,7300,7063,5032,9376,3451,3700,5231,6055
E04499,関西電力株式会社,原子力発電費,個別勘定科目合計,,諸税,JPY,百万円,12909,14635,16306,15120,15189,16536,23185,25501,26000,25967
E04499,関西電力株式会社,原子力発電費,内訳,諸税,固定資産税,JPY,百万円,6572,6825,6351,6362,6302,8520,10711,12472,15122,14138
E04499,関西電力株式会社,原子力発電費,内訳,諸税,雑税,JPY,百万円,6336,7809,9954,8758,8887,8016,12474,13029,10877,11829
E04499,関西電力株式会社,原子力発電費,個別勘定科目,,委託費,JPY,百万円,47312,41343,24567,38656,27002,22988,25599,25598,24998,31071
E04499,関西電力株式会社,原子力発電費,個別勘定科目合計,,減価償却費,JPY,百万円,52213,43728,43146,33771,39603,56739,63358,78628,82717,83732
E04499,関西電力株式会社,原子力発電費,内訳,減価償却費,普通償却費,JPY,百万円,52213,43728,43146,33771,39603,56739,63358,78628,82717,83732
E04499,関西電力株式会社,原子力発電費,個別勘定科目合計,,固定資産除却費,JPY,百万円,4430,9196,3695,6651,7069,3676,677,2461,1514,1727
E04499,関西電力株式会社,原子力発電費,内訳,固定資産除却費,除却損,JPY,百万円,1826,1417,1468,1724,2439,1276,318,838,466,399
E04499,関西電力株式会社,原子力発電費,内訳,固定資産除却費,除却費用,JPY,百万円,2603,7778,2227,4926,4630,2400,358,1623,1048,1328
E04499,関西電力株式会社,原子力発電費,個別勘定科目,,賃借料,JPY,百万円,1960,1881,1917,1915,2054,2048,2043,2123,2391,2463
E04499,関西電力株式会社,原子力発電費,個別勘定科目,,補償費,JPY,百万円,19,12,,,6,7,7,0,0,14
E04499,関西電力株式会社,原子力発電費,個別勘定科目,,給料手当,JPY,百万円,15665,16713,17176,17001,16606,15224,14202,13807,14479,14788
E04499,関西電力株式会社,原子力発電費,個別勘定科目合計,,給料手当振替額|貸方,JPY,百万円,-51,-249,-263,-256,-252,-163,-63,-40,-41,-55
E04499,関西電力株式会社,原子力発電費,内訳,給料手当振替額|貸方,建設費への振替額|貸方,JPY,百万円,-40,-137,-150,-179,-123,-66,-50,-38,-37,-52
E04499,関西電力株式会社,原子力発電費,内訳,給料手当振替額|貸方,その他への振替額|貸方,JPY,百万円,-10,-112,-113,-77,-128,-96,-12,-1,-4,-3
E04499,関西電力株式会社,原子力発電費,個別勘定科目合計,,厚生費,JPY,百万円,3307,3516,3578,3529,3504,3250,3111,3030,3131,3262
E04499,関西電力株式会社,原子力発電費,内訳,厚生費,法定厚生費,JPY,百万円,2473,2705,2794,2751,2691,2481,2346,2296,2311,2374
E04499,関西電力株式会社,原子力発電費,内訳,厚生費,一般厚生費,JPY,百万円,834,810,783,777,813,768,764,734,819,888
E04499,関西電力株式会社,原子力発電費,個別勘定科目,,雑給,JPY,百万円,255,331,384,461,427,445,492,586,662,651
E04499,関西電力株式会社,原子力発電費,個別勘定科目,,修繕費,JPY,百万円,38438,33098,42402,50854,59922,40031,55414,57325,62099,77772
E04499,関西電力株式会社,原子力発電費,個別勘定科目合計,,使用済燃料再処理等拠出金費,JPY,百万円,22064,42444,63324,58660,20960,47111,36345,68930,70068,64561
E04499,関西電力株式会社,原子力発電費,内訳,使用済燃料再処理等拠出金費,使用済燃料再処理等拠出金発電費,JPY,百万円,1326,21706,42586,37922,20960,47111,,,,
E04499,関西電力株式会社,原子力発電費,内訳,使用済燃料再処理等拠出金費,使用済燃料再処理等既発電費,JPY,百万円,20738,20738,20738,20738,,,,,,
E04499,関西電力株式会社,原子力発電費,個別勘定科目,,廃棄物処理費,JPY,百万円,9728,6264,6611,12044,6834,2899,11693,14764,25771,14914
E04499,関西電力株式会社,原子力発電費,個別勘定科目,,特定放射性廃棄物処分費,JPY,百万円,18,4239,10488,10499,7615,17337,15783,34068,37009,41664
E04499,関西電力株式会社,原子力発電費,個別勘定科目合計,,燃料費,JPY,百万円,,11795,22966,21669,12572,27187,20015,33254,41331,36453
E04499,関西電力株式会社,原子力発電費,内訳,燃料費,核燃料減損額,JPY,百万円,,11795,22951,21648,12189,26959,19144,31085,40890,36081
E04499,関西電力株式会社,原子力発電費,内訳,燃料費,核燃料減損修正損,JPY,百万円,,,14,21,382,227,871,2169,440,372
E04499,関西電力株式会社,原子力発電費,個別勘定科目,,非化石証書関連振替額,JPY,百万円,,,,,-91,-1882,1411,-4483,-67,325
E04499,関西電力株式会社,原子力発電費,個別勘定科目,,廃炉拠出金費,JPY,百万円,,,,,,,,,7678,7678
E04499,関西電力株式会社,原子力発電費,区分合計,,合計,JPY,百万円,257378,282401,314269,327203,281905,320417,335698,422718,449636,456533
E04499,関西電力株式会社,内燃力発電費,個別勘定科目,,消耗品費,JPY,百万円,7,6,7,7,7,6,7,8,7,7
E04499,関西電力株式会社,内燃力発電費,個別勘定科目,,諸費,JPY,百万円,2,1,1,1,2,1,1,1,2,3
E04499,関西電力株式会社,内燃力発電費,個別勘定科目,,委託費,JPY,百万円,113,113,113,110,111,112,112,113,127,135
E04499,関西電力株式会社,内燃力発電費,個別勘定科目合計,,諸税,JPY,百万円,82,71,61,53,47,42,37,33,30,12
E04499,関西電力株式会社,内燃力発電費,内訳,諸税,固定資産税,JPY,百万円,80,70,60,53,46,41,37,33,30,11
E04499,関西電力株式会社,内燃力発電費,内訳,諸税,雑税,JPY,百万円,2,,,,,,,0,0,0
E04499,関西電力株式会社,内燃力発電費,個別勘定科目合計,,減価償却費,JPY,百万円,877,778,554,407,406,406,405,85,145,145
E04499,関西電力株式会社,内燃力発電費,内訳,減価償却費,普通償却費,JPY,百万円,877,778,554,407,406,406,405,85,145,145
E04499,関西電力株式会社,内燃力発電費,個別勘定科目,,賃借料,JPY,百万円,238,238,255,255,255,255,255,272,276,276
E04499,関西電力株式会社,内燃力発電費,個別勘定科目合計,,燃料費,JPY,百万円,825,202,642,72,295,31,119,7,2,8
E04499,関西電力株式会社,内燃力発電費,内訳,燃料費,ガス費,JPY,百万円,818,201,628,71,249,30,80,5,0,
E04499,関西電力株式会社,内燃力発電費,内訳,燃料費,燃料油費,JPY,百万円,6,1,13,1,46,,38,1,2,8
E04499,関西電力株式会社,内燃力発電費,個別勘定科目,,修繕費,JPY,百万円,52,36,61,97,59,101,119,238,58,47
E04499,関西電力株式会社,内燃力発電費,個別勘定科目,,廃棄物処理費,JPY,百万円,1,,,,1,,,3,0,1
E04499,関西電力株式会社,内燃力発電費,個別勘定科目合計,,固定資産除却費,JPY,百万円,,2,,,6,,,1324,62,4
E04499,関西電力株式会社,内燃力発電費,内訳,固定資産除却費,除却費用,JPY,百万円,,1,,,2,,,4,46,5
E04499,関西電力株式会社,内燃力発電費,内訳,固定資産除却費,除却損,JPY,百万円,,,,,4,,,1320,15,-1
E04499,関西電力株式会社,内燃力発電費,個別勘定科目合計,,厚生費,JPY,百万円,,,,,,,,0,0,0
E04499,関西電力株式会社,内燃力発電費,内訳,厚生費,一般厚生費,JPY,百万円,,,,,,,,0,0,0
E04499,関西電力株式会社,内燃力発電費,個別勘定科目,,補償費,JPY,百万円,,,,,,,,,0,
E04499,関西電力株式会社,内燃力発電費,区分合計,,合計,JPY,百万円,2201,1452,1698,1007,1193,958,1059,2089,715,644
E04499,関西電力株式会社,新エネルギー等発電費,個別勘定科目合計,,諸税,JPY,百万円,34,4,51,22,20,18,15,13,12,10
E04499,関西電力株式会社,新エネルギー等発電費,内訳,諸税,固定資産税,JPY,百万円,34,4,51,22,20,18,15,13,12,10
E04499,関西電力株式会社,新エネルギー等発電費,内訳,諸税,雑税,JPY,百万円,,,,,,,,0,0,0
E04499,関西電力株式会社,新エネルギー等発電費,個別勘定科目合計,,減価償却費,JPY,百万円,222,54,303,114,115,115,115,116,116,117
E04499,関西電力株式会社,新エネルギー等発電費,内訳,減価償却費,普通償却費,JPY,百万円,222,54,303,114,115,115,115,116,116,117
E04499,関西電力株式会社,新エネルギー等発電費,個別勘定科目,,賃借料,JPY,百万円,45,4,88,47,47,47,48,50,52,55
E04499,関西電力株式会社,新エネルギー等発電費,個別勘定科目,,修繕費,JPY,百万円,26,1,22,47,57,52,30,41,50,59
E04499,関西電力株式会社,新エネルギー等発電費,個別勘定科目,,委託費,JPY,百万円,3,2,3,,,3,,,,
E04499,関西電力株式会社,新エネルギー等発電費,個別勘定科目合計,,固定資産除却費,JPY,百万円,,,2,1,,,,,,
E04499,関西電力株式会社,新エネルギー等発電費,内訳,固定資産除却費,除却損,JPY,百万円,,,1,1,,,,,,
E04499,関西電力株式会社,新エネルギー等発電費,個別勘定科目,,給料手当,JPY,百万円,,,,13,1,,,,,
E04499,関西電力株式会社,新エネルギー等発電費,個別勘定科目合計,,厚生費,JPY,百万円,,,,2,,,,0,,
E04499,関西電力株式会社,新エネルギー等発電費,内訳,厚生費,法定厚生費,JPY,百万円,,,,2,,,,0,,
E04499,関西電力株式会社,新エネルギー等発電費,個別勘定科目,,諸費,JPY,百万円,,,,,9,8,8,8,8,8
E04499,関西電力株式会社,新エネルギー等発電費,個別勘定科目,,消耗品費,JPY,百万円,,,,,,,,0,0,0
E04499,関西電力株式会社,新エネルギー等発電費,個別勘定科目,,非化石証書関連振替額,JPY,百万円,,,,,,,,-1,0,0
E04499,関西電力株式会社,新エネルギー等発電費,区分合計,,合計,JPY,百万円,331,67,470,249,252,244,219,229,240,252
E04499,関西電力株式会社,地帯間購入電力料,個別勘定科目,,地帯間購入送電費,JPY,百万円,111,159,177,179,,,,,,
E04499,関西電力株式会社,地帯間購入電力料,個別勘定科目,,地帯間購入電源費,JPY,百万円,8818,10953,11813,10427,,,,,,
E04499,関西電力株式会社,地帯間購入電力料,区分合計,,合計,JPY,百万円,8930,11113,11991,10606,,,,,,
E04499,関西電力株式会社,他社購入電力料,個別勘定科目,,他社購入送電費,JPY,百万円,108,106,102,102,,,,,,
E04499,関西電力株式会社,他社購入電力料,個別勘定科目合計,,他社購入電源費,JPY,百万円,452618,455499,504780,443420,381154,312060,910776,623749,992650,868199
E04499,関西電力株式会社,他社購入電力料,内訳,他社購入電源費,新エネルギー等電源費,JPY,百万円,164252,192892,208827,223754,180734,51752,80516,32595,43477,43287
E04499,関西電力株式会社,他社購入電力料,内訳,他社購入電源費,その他の電源費,JPY,百万円,288366,262607,295953,219665,200420,260307,830260,591153,949173,824911
E04499,関西電力株式会社,他社購入電力料,個別勘定科目,,非化石証書購入費,JPY,百万円,,,,53,8588,2449,822,8661,9744,20329
E04499,関西電力株式会社,他社購入電力料,区分合計,,合計,JPY,百万円,452727,455605,504883,443576,389743,314509,911599,632411,1002400,888528
E04499,関西電力株式会社,送電費,個別勘定科目合計,,給料手当振替額|貸方,JPY,百万円,-563,-490,-581,-633,,,,,,
E04499,関西電力株式会社,送電費,内訳,給料手当振替額|貸方,その他への振替額|貸方,JPY,百万円,-12,-16,-24,-22,,,,,,
E04499,関西電力株式会社,送電費,内訳,給料手当振替額|貸方,建設費への振替額|貸方,JPY,百万円,-551,-474,-556,-610,,,,,,
E04499,関西電力株式会社,送電費,個別勘定科目,,給料手当,JPY,百万円,7946,8510,10333,10480,,,,,,
E04499,関西電力株式会社,送電費,個別勘定科目合計,,減価償却費,JPY,百万円,67582,64300,62312,52174,,,,,,
E04499,関西電力株式会社,送電費,内訳,減価償却費,普通償却費,JPY,百万円,67582,64300,62312,52174,,,,,,
E04499,関西電力株式会社,送電費,個別勘定科目合計,,諸税,JPY,百万円,11149,10797,10589,10359,,,,,,
E04499,関西電力株式会社,送電費,内訳,諸税,固定資産税,JPY,百万円,10928,10610,10394,10152,,,,,,
E04499,関西電力株式会社,送電費,内訳,諸税,雑税,JPY,百万円,221,187,194,207,,,,,,
E04499,関西電力株式会社,送電費,個別勘定科目,,諸費,JPY,百万円,1455,1399,1306,1381,,,,,,
E04499,関西電力株式会社,送電費,個別勘定科目,,損害保険料,JPY,百万円,10,9,8,9,,,,,,
E04499,関西電力株式会社,送電費,個別勘定科目,,賃借料,JPY,百万円,9597,9535,9480,9111,,,,,,
E04499,関西電力株式会社,送電費,個別勘定科目,,共有設備費等分担額|貸方,JPY,百万円,-126,-124,-122,-108,,,,,,
E04499,関西電力株式会社,送電費,個別勘定科目合計,,固定資産除却費,JPY,百万円,7887,7335,6239,7511,,,,,,
E04499,関西電力株式会社,送電費,内訳,固定資産除却費,除却費用,JPY,百万円,5820,5588,4569,5920,,,,,,
E04499,関西電力株式会社,送電費,内訳,固定資産除却費,除却損,JPY,百万円,2066,1747,1670,1591,,,,,,
E04499,関西電力株式会社,送電費,個別勘定科目,,補償費,JPY,百万円,871,1408,1597,1358,,,,,,
E04499,関西電力株式会社,送電費,個別勘定科目,,託送料,JPY,百万円,11928,11635,11476,11176,,,,,,
E04499,関西電力株式会社,送電費,個別勘定科目,,共有設備費等分担額,JPY,百万円,26,26,29,56,,,,,,
E04499,関西電力株式会社,送電費,個別勘定科目,,委託費,JPY,百万円,12030,12317,10546,9478,,,,,,
E04499,関西電力株式会社,送電費,個別勘定科目,,事業者間精算費,JPY,百万円,4252,5013,3364,4775,,,,,,
E04499,関西電力株式会社,送電費,個別勘定科目,,修繕費,JPY,百万円,10766,15034,11629,10507,,,,,,
E04499,関西電力株式会社,送電費,個別勘定科目,,消耗品費,JPY,百万円,168,205,198,179,,,,,,
E04499,関西電力株式会社,送電費,個別勘定科目,,雑給,JPY,百万円,175,209,256,306,,,,,,
E04499,関西電力株式会社,送電費,個別勘定科目合計,,厚生費,JPY,百万円,1407,1552,1890,1986,,,,,,
E04499,関西電力株式会社,送電費,内訳,厚生費,一般厚生費,JPY,百万円,127,131,159,135,,,,,,
E04499,関西電力株式会社,送電費,内訳,厚生費,法定厚生費,JPY,百万円,1280,1420,1730,1851,,,,,,
E04499,関西電力株式会社,送電費,区分合計,,合計,JPY,百万円,146565,148676,140557,130110,,,,,,
E04499,関西電力株式会社,変電費,個別勘定科目合計,,給料手当振替額|貸方,JPY,百万円,-1281,-1251,-1096,-1028,,,,,,
E04499,関西電力株式会社,変電費,内訳,給料手当振替額|貸方,建設費への振替額|貸方,JPY,百万円,-1279,-1234,-1078,-993,,,,,,
E04499,関西電力株式会社,変電費,内訳,給料手当振替額|貸方,その他への振替額|貸方,JPY,百万円,-1,-17,-17,-35,,,,,,
E04499,関西電力株式会社,変電費,個別勘定科目,,給料手当,JPY,百万円,10254,10783,12255,12345,,,,,,
E04499,関西電力株式会社,変電費,個別勘定科目,,共有設備費等分担額|貸方,JPY,百万円,-116,-102,-102,-102,,,,,,
E04499,関西電力株式会社,変電費,個別勘定科目合計,,固定資産除却費,JPY,百万円,6211,5479,5228,5560,,,,,,
E04499,関西電力株式会社,変電費,内訳,固定資産除却費,除却費用,JPY,百万円,3458,3344,3335,3680,,,,,,
E04499,関西電力株式会社,変電費,内訳,固定資産除却費,除却損,JPY,百万円,2753,2135,1893,1880,,,,,,
E04499,関西電力株式会社,変電費,個別勘定科目合計,,諸税,JPY,百万円,7212,7341,7432,7282,,,,,,
E04499,関西電力株式会社,変電費,内訳,諸税,固定資産税,JPY,百万円,6682,6841,6917,6770,,,,,,
E04499,関西電力株式会社,変電費,内訳,諸税,雑税,JPY,百万円,530,500,514,511,,,,,,
E04499,関西電力株式会社,変電費,個別勘定科目,,諸費,JPY,百万円,389,347,394,444,,,,,,
E04499,関西電力株式会社,変電費,個別勘定科目,,損害保険料,JPY,百万円,7,7,6,7,,,,,,
E04499,関西電力株式会社,変電費,個別勘定科目,,修繕費,JPY,百万円,7990,6125,10177,6414,,,,,,
E04499,関西電力株式会社,変電費,個別勘定科目合計,,減価償却費,JPY,百万円,32471,33644,33516,24375,,,,,,
E04499,関西電力株式会社,変電費,内訳,減価償却費,普通償却費,JPY,百万円,32471,33644,33516,24375,,,,,,
E04499,関西電力株式会社,変電費,個別勘定科目合計,,厚生費,JPY,百万円,1828,1987,2258,2350,,,,,,
E04499,関西電力株式会社,変電費,内訳,厚生費,一般厚生費,JPY,百万円,165,186,215,182,,,,,,
E04499,関西電力株式会社,変電費,内訳,厚生費,法定厚生費,JPY,百万円,1662,1801,2042,2168,,,,,,
E04499,関西電力株式会社,変電費,個別勘定科目,,委託費,JPY,百万円,290,-424,-938,1148,,,,,,
E04499,関西電力株式会社,変電費,個別勘定科目,,賃借料,JPY,百万円,2610,2552,2535,2273,,,,,,
E04499,関西電力株式会社,変電費,個別勘定科目,,補償費,JPY,百万円,3,9,6,3,,,,,,
E04499,関西電力株式会社,変電費,個別勘定科目,,消耗品費,JPY,百万円,231,230,237,347,,,,,,
E04499,関西電力株式会社,変電費,個別勘定科目,,雑給,JPY,百万円,207,276,337,455,,,,,,
E04499,関西電力株式会社,変電費,区分合計,,合計,JPY,百万円,68312,67007,72250,61878,,,,,,
E04499,関西電力株式会社,配電費,個別勘定科目,,給料手当,JPY,百万円,26514,27729,29756,28712,,,,,,
E04499,関西電力株式会社,配電費,個別勘定科目合計,,固定資産除却費,JPY,百万円,3558,4052,3984,4046,,,,,,
E04499,関西電力株式会社,配電費,内訳,固定資産除却費,除却費用,JPY,百万円,3258,3473,3415,3704,,,,,,
E04499,関西電力株式会社,配電費,内訳,固定資産除却費,除却損,JPY,百万円,299,578,568,342,,,,,,
E04499,関西電力株式会社,配電費,個別勘定科目合計,,減価償却費,JPY,百万円,31359,30715,30089,21688,,,,,,
E04499,関西電力株式会社,配電費,内訳,減価償却費,普通償却費,JPY,百万円,31359,30715,30089,21688,,,,,,
E04499,関西電力株式会社,配電費,個別勘定科目,,諸費,JPY,百万円,2854,3147,2934,3225,,,,,,
E04499,関西電力株式会社,配電費,個別勘定科目合計,,諸税,JPY,百万円,13056,12911,12886,12728,,,,,,
